Type of Repo,Repo Name,Repo GiniIndex,File GiniIndex,Class GiniIndex,Method GiniIndex,File GiniIndex Info,File GiniIndex Error,File GiniIndex Warning,File GiniIndex Debug,File GiniIndex Trace,File GiniIndex Fatal,Class GiniIndex Info,Class GiniIndex Error,Class GiniIndex Warning,Class GiniIndex Debug,Class GiniIndex Trace,Class GiniIndex Fatal,Method GiniIndex Info,Method GiniIndex Error,Method GiniIndex Warning,Method GiniIndex Debug,Method GiniIndex Trace,Method GiniIndex Fatal
NonDataScience,flask-markdown,,,,,,,,,,,,,,,,,,,,,,
NonDataScience,velruse,0.799999988,0.970588232,0.970588232,0.970588261,0.970588232,,,,,,0.970588232,,,,,,0.970588232,,,,,
NonDataScience,cnn-benchmarks,0.799999968,0.187960671,,0.125,0.333333333,,,,,,,,,,,,0.3,,,,,
NonDataScience,NoEye,0.766666636,,,,,,,,,,,,,,,,,,,,,
NonDataScience,nosqlpot,0.657142868,0.698022623,0.75,0.669354836,0.714285714,,,,,,0.75,,,,,,0.75,,,,,
NonDataScience,exrex,0.616666642,0.308525184,0.666666647,0.363636362,0.260869571,0.666666647,,,,,0.666666647,,,,,,0.385964903,0.666666647,,,,
NonDataScience,seq2seq.pytorch,0.587755091,0.798308464,0.801610147,0.886337926,0.791891927,0.945945923,,0.89189187,,,0.879999981,0.972972949,,0.972972949,,,0.817923199,0.972972949,,0.89189187,,
NonDataScience,PyPXE,0.60000001,0.344437602,0.534090909,0.450976713,0.357142857,,,,,,0.475,,,,,,0.393518519,,,,,
NonDataScience,scrapy-redis,0.64,0.918515584,0.960000021,0.924137923,0.895999987,,,,,,,,,,,,0.933333354,,,,,
NonDataScience,hacking,0.69999999,0.843973911,0.849999966,0.830898771,0.799999988,,,,,,0.849999966,,,,,,0.799999988,,,,,
NonDataScience,Sunflower,0.716666638,0.935662994,0.955134674,0.939265953,0.925595221,0.973214268,,,,,0.948051897,0.977891127,,,,,0.949999997,0.978571426,,,,
NonDataScience,meterssh,0.76,0.499999986,0.666666648,0.666666682,0.433333344,,,,,,0.666666647,,,,,,0.666666667,,,,,
NonDataScience,chainerrl,0.636437227,0.785047756,0.879518719,0.822325506,0.780108037,,,,,,0.926063172,,,,,,0.795650942,,,,,
NonDataScience,pyxDamerauLevenshtein,,,,,,,,,,,,,,,,,,,,,,
NonDataScience,conda-env,0.56,0.766204122,0.857808823,0.80449646,0.784090886,0.909090882,0.969696941,,,,0.848484823,,,,,,0.813131289,0.939393911,0.969696941,,,
NonDataScience,px,0.570491812,0.353685177,0.666666683,0.220623506,0.025157234,0.333333323,,,0.666666667,,0.666666689,,,,0.666666667,,0.040000002,0.333333323,,,0.666666667,
NonDataScience,nltk_contrib,0.739640335,0.868688152,0.868261051,0.842758789,0.806292478,0.970809736,0.9877256,,,,0.933034819,0.984837513,0.9877256,,,,0.855749012,0.974072836,0.98916966,,,
NonDataScience,django-rest-framework-docs,,,,,,,,,,,,,,,,,,,,,,
NonDataScience,raster-functions,0.545454534,0.964666859,0.974358962,0.962963011,0.94358969,0.974358962,,,,,,,,,,,0.961538449,0.974358962,,,,
NonDataScience,vaas,0.666666676,0.828793719,0.896540149,0.869835867,0.842161015,0.983050846,,,,,0.879741721,0.983050846,,,,,0.896892687,0.983050846,,,,
NonDataScience,dex,0.763636347,0.875,0.875,0.875,0.875,0.875,,,,,0.875,0.875,,,,,0.875,0.875,,,,
NonDataScience,bam-readcount,0.800000036,0.61464476,0.633333348,0.633333348,0.66666665,0.666666647,,,,,0.666666667,,,,,,0.631578932,0.666666647,,,,
NonDataScience,dj-database-url,,,,,,,,,,,,,,,,,,,,,,
NonDataScience,reGeorg,0.72,,,,,,,,,,,,,,,,,,,,,
NonDataScience,python-ivi,0.664788741,0.981283732,0.981967211,0.99291648,0.985714317,0.99712644,,,,,0.98390805,,,,,,0.986677129,,,,,
NonDataScience,fast-rcnn-train-another-dataset,0.707692334,0.5,0.5,0.340989417,0.153846154,,,,,,0.5,,,,,,0.14,,,,,
NonDataScience,pyrtlsdr,0.765957478,0.766785785,0.893616988,0.711340787,0.705555556,,,,0.899999987,,0.899999987,,,,0.899999987,,0.751785727,,,,0.899999987,
NonDataScience,Beehive,0.624999975,0.612349267,0.696988621,0.61086861,0.706382954,,,,0.866666621,,0.821621611,,,,0.866666621,,0.799999968,,,,0.866666621,
NonDataScience,sqlacodegen,0.64,0.727093103,0.75,0.738985958,0.45,,,,,,,,,,,,0.625,,,,,
NonDataScience,SublimeLinter-eslint,0.799999988,,,,,,,,,,,,,,,,,,,,,
NonDataScience,alternative-toolbar,0.796428585,0.496284596,0.67908787,0.534710291,0.589285704,,,,,,0.58013767,,,,,,0.594399264,,,,,
NonDataScience,s3tk,,,,,,,,,,,,,,,,,,,,,,
NonDataScience,ff4d,0.684057962,0.462087962,0.495575225,0.475232169,0.394736842,,,,0.5,,0,,,,0.5,,0.5,,,,0.5,
NonDataScience,selene,0.799999988,0.988764076,0.988764035,0.988764035,0.988764035,,,,,,0.988764035,,,,,,0.988764035,,,,,
NonDataScience,Chronyk,,,,,,,,,,,,,,,,,,,,,,
NonDataScience,process-forest,0.613333333,0,0,0,0,,,,,,0,,,,,,0,,,,,
NonDataScience,IPTV.bundle,0.799999988,,,,,,,,,,,,,,,,,,,,,
NonDataScience,fossor,0.531578954,0.60129565,0.743572152,0.634566135,0.64503143,,,,0.981132061,,0.898113194,,,,0.981132061,,0.888888876,,,,0.981132061,
NonDataScience,django-swingtime,0.66666664,0.88960278,0.9375,0.9356343,0.9375,,0.9375,,,,0.9375,,,,,,0.925,,0.9375,,,
NonDataScience,pymarc,0.741333333,0.831926577,0.81906025,0.865659993,0.878021972,0.923076889,0.961538457,,,,0.887179494,0.923076889,0.961538457,,,,0.866245676,0.923076889,0.961538457,,,
NonDataScience,phraug2,0.683870989,0.519090837,,0.868131913,0.49112426,0.923076889,0.923076889,,,,,,,,,,0.923076889,,0.923076889,,,
NonDataScience,gsutil,0.298392279,0.821081694,0.879880153,0.870819373,0.849205438,0.974517626,,0.986301377,0.955859977,,0.897838964,0.982305977,,0.993607286,0.979908656,,0.85518836,0.973820403,,0.986301377,0.96296297,
NonDataScience,pants,0.426666667,0.923313001,0.934444687,0.897670633,0.869358359,0.997260248,0.996164391,,0.99021531,,0.960253557,,0.997260304,,0.993607336,,0.930369583,,0.996164391,,0.991780868,
NonDataScience,winpython,0.718446589,0.890438723,0.946786176,0.905678694,0.889862336,,,,0.978723435,,0.94444441,,,,,,0.898623268,,,,,
NonDataScience,python-geoip,,,,,,,,,,,,,,,,,,,,,,
NonDataScience,pigar,0.6352941,0.909288033,0.875562179,0.825313402,0.902813296,,,,,,0.951086939,,,,,,0.913043503,,,,,
NonDataScience,FacebookBot,0.787499988,0.440981544,0.75,0.50186567,0.443548387,0.75,,,,,0.75,,,,,,0.517857143,,,,,
NonDataScience,django-reversion-compare,0.706976713,0.867823301,0.930316395,0.878930667,0.854529607,,,,,,0.94142858,,,,,,0.886904774,,,,,
NonDataScience,LFiFreak,0.8,,,,,,,,,,,,,,,,,,,,,
NonDataScience,repokid,0.604651136,0.727159222,0.841083255,0.651589171,0.67809059,,,,,,0.910526283,,,,,,0.860323871,,,,,
NonDataScience,cuckoo-modified,0.71843076,0.890398555,0.845607176,0.833275699,0.967888996,0.984693868,0.994897949,0.994897949,0.967996301,,0.989813102,0.990816293,,0.994897949,0.977891147,,0.979031479,0.989130404,0.994897949,0.994897975,0.970565176,
NonDataScience,gpytorch,0.723809557,0.991088008,0.996039601,0.991718044,0.994813743,,,,,,0.996699654,,,,,,0.995709568,,,,,
NonDataScience,community,0.763636347,,,,,,,,,,,,,,,,,,,,,
NonDataScience,whirlwind,0.670270262,0.856037548,0.795740798,0.894517444,0.761904772,0.964285671,,,,,0.8664596,,,,,,0.844594616,0.964285671,,,,
NonDataScience,t,0.577777793,0,0,0,0,0,,,,,0,,,,,,0,0,,,,
NonDataScience,Skype4Py,0.725714286,0.93824283,0.917241392,0.914197655,0.872407065,,,,,,0.918280575,,,,,,0.892367913,,,,,
NonDataScience,django-activity-stream,0.799999988,0.96875,,0.96875,0.96875,,,,,,,,,,,,,,,,,
NonDataScience,metagoofil,0.663507097,0.95450428,0.96760381,0.977850557,0.962205339,0.9885787,,,0.994923878,,0.969365677,0.992893421,,,,,0.968420586,0.987672195,,,0.994923878,
NonDataScience,Coursera-SDN,0.796946542,0.878668618,0.849667761,0.786657574,0.924482047,,,,,,0.913265306,,,,,,0.955430909,,,,,
NonDataScience,Recipes,0.800000036,0.653321971,0.961538451,0.738024608,0.70421247,,,,,,,,,,,,0.747337278,,,,,
NonDataScience,Pyrus,0.800000013,0.687601162,0.836723175,0.748035464,0.634567918,0.933333285,,,,,0.855555556,0.966666616,,,,,0.83333329,0.966666616,,,,
NonDataScience,processing.py,0.728301861,0.844459717,0.964368336,0.901001713,0.860563372,0.992957765,,,,,0.985915511,,,,,,0.961207939,0.992957765,,,,
NonDataScience,concurrencylive,0.800000014,0.369889193,0.75,0.40217392,0.416666667,,,,,,,,,,,,0.25,,,,,
NonDataScience,python-evdev,0.679069737,0.771989774,0.841628944,0.788294813,0.781512614,0.941176467,,,,,0.799999967,,,,,,0.895635698,0.941176467,,,,
NonDataScience,facerec,0.692307675,0.743439918,0.818518504,0.862512009,0.700000026,,,,,,0.957142853,,,,,,0.811111094,,,,,
NonDataScience,Full-Stack-Foundations,0.634146356,0.796203731,0.79999998,0.799999988,0.780487823,,,,,,0.799999981,,,,,,0.800000017,,,,,
NonDataScience,puppetboard,0.8,0.874952214,,0.856648965,0.855555515,,,,,,,,,,,,0.944444437,,,,,
NonDataScience,varnishtuner.py,0.799999988,,,,,,,,,,,,,,,,,,,,,
NonDataScience,rumps,0.64999999,0.757872257,0.942857089,0.887740543,0.829931973,,0.952380935,,0.845238079,,,,,,,,0.904761888,,,,0.936507895,
NonDataScience,tsvutils,0.799999988,0.5,0.5,0.5,0.5,,,,,,0.5,,,,,,0.5,,,,,
NonDataScience,CrawlerTutorial,0.800000017,0.654432136,0.791379285,0.690609802,0.519565228,,,,,,0.949999986,,,,,,0.837499988,,,,,
NonDataScience,pycurl,0.695145618,0.829566241,0.907664272,0.894156104,0.896789424,0.970982099,0.991071384,,0.991071384,,0.972282593,0.991071384,0.991071384,,0.991071384,,0.950595238,0.986607099,0.991071384,,0.991071384,
NonDataScience,SyncSettings,0.66666664,0.956521734,0.956521721,0.95652175,0.956521721,,,,,,,,,,,,,,,,,
NonDataScience,SublimeText2-FTPSync,0.706796103,0.774953783,0.820804097,0.821172815,0.790058495,0.922222178,,,0.944444437,,0.809941537,0.944444437,,,,,0.832391741,0.925925898,,,0.944444437,
NonDataScience,sanic,0.426666667,0.864231276,0.899888543,0.854282685,0.831140345,,,,0.965886978,,0.956140381,,,,0.965886978,,0.894597641,,,,0.965886978,
NonDataScience,search-script-scrape,0.735260148,0.253064524,,0.95378157,0.342111259,,,,,,,,,,,,,,,,,
NonDataScience,LEHome,0.596666667,0.803002943,0.791236003,0.852939426,0.77157769,0.957446839,,,0.927659555,,0.843085108,0.957446839,,,0.946808541,,0.818826592,0.957446839,,,0.964539009,
NonDataScience,skyline,0.624561424,0.631358126,0.646666619,0.776653245,0.576923072,0.866666621,,,0.799999988,,0.866666621,,,,0.933333285,,0.799999988,0.933333285,,,0.866666621,
NonDataScience,cleverprogrammer_stuff,0.794666667,0.565018184,0.582896472,0.610622717,0.484285708,,,,,,0.928571387,,,,,,0.817669204,,,,,
NonDataScience,gmusicapi,0.689230769,0.794349013,0.839396626,0.868845387,0.784034188,,0.913043461,,0.956521721,,0.913043503,,,,0.956521721,,0.795873218,,0.956521721,,0.956521721,
NonDataScience,nitime,0.74871793,0.907011849,0.963888843,0.941573125,0.87353799,0.986111104,,,,,0.976851823,,,,,,0.905864198,,,,,
NonDataScience,uwsgi-sloth,0.581818169,0.768326228,0.857142849,0.774686672,0.61688313,,,,,,,,,,,,0.928571387,,,,,
NonDataScience,gwpy,0.602955688,0.883980082,0.921531089,0.89529437,0.895539864,,,,,,0.943025773,,,,,,0.935546706,,,,,
NonDataScience,ploy,0.591780806,0.575041749,0.701601885,0.605493595,0.692237425,,,,,,0.81761007,,,,,,0.760416627,,,,,
NonDataScience,django-after-response,0.799999988,0.888888863,,0.888888882,0.888888882,,,,,,,,,,,,,,,,,
NonDataScience,curriculum,,,,,,,,,,,,,,,,,,,,,,
NonDataScience,uncaptcha,0.599999976,0.11208491,,0.144436533,0.129310345,,,0.583333333,,,,,,,,,0.457142857,,,0.583333333,,
NonDataScience,xcompose,0.800000014,0,,0,0,,,,,,,,,,,,0,,,,,
NonDataScience,zika-data,0.799999988,0.799999981,,0.799999988,0.799999988,,,,,,,,,,,,,,,,,
NonDataScience,weixin,,,,,,,,,,,,,,,,,,,,,,
NonDataScience,holographic-embeddings,0.799999988,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,
NonDataScience,font-awesome-to-png,0.8,,,,,,,,,,,,,,,,,,,,,
NonDataScience,CoronaSDK-SublimeText,0.599999991,0.579257571,0.698924711,0.65052427,0.617283951,,,,0.888888862,,0.687830711,,,,0.888888882,,0.624338646,,,,0.888888862,
NonDataScience,pytorch,0.790909074,0.399224298,0.95652177,0.595578849,0.735360656,,,,0.956521721,,0.956521749,,,,,,0.810479398,,,,0.956521721,
NonDataScience,sdat2img,0.778947378,,,,,,,,,,,,,,,,,,,,,
NonDataScience,StarCluster,0.572701926,0.798193272,0.862031694,0.80681243,0.816275639,0.928571425,,,0.985000022,,0.88165051,0.990000022,,,0.985000022,,0.828246774,0.931538496,,,0.985000022,
NonDataScience,Keyboard-Walk-Generators,0.75714287,0.304514654,0.5,0.209677417,0.452380952,0.5,0.5,,,,0.5,,0.5,,,,0.5,,0.5,,,
NonDataScience,apispec,,,,,,,,,,,,,,,,,,,,,,
NonDataScience,tinkerer,0.600000016,0.722317601,0.796578978,0.802695335,0.731944464,,,,,,0.817,,,,,,0.743749989,,,,,
NonDataScience,rss,,,,,,,,,,,,,,,,,,,,,,
NonDataScience,quantopian-algos,0.799999988,0.5,,0.5,0.5,,,,,,,,,,,,0.5,,,,,
NonDataScience,SegNet-Tutorial,0.765217407,0.193116008,,0.676923102,0.272727267,,,,,,,,,,,,0.799999988,,,,,
NonDataScience,denyhosts,0.534177209,0.666425062,0.827229496,0.874489655,0.743036984,0.975609792,0.975609792,,0.975609792,,0.860909715,,0.975609792,,,,0.831126616,0.975609792,0.975609792,,,
NonDataScience,molecule,0.680701777,0.726022202,0.697582801,0.755575654,0.689034708,,,,0.989690752,,0.988794266,,,,,,0.966646477,,,,0.989690752,
NonDataScience,flex,0.52,0.988430715,0.993321741,0.990697178,0.986585342,,,,,,,,,,,,0.987804915,,,,,
NonDataScience,alfred-stackoverflow,0.524999992,0.592948586,0.72264154,0.667390268,0.66249999,,,,,,0.877777801,,,,,,0.771428585,,,,,
NonDataScience,bakthat,0.600000022,0.476511228,0.659726879,0.563438246,0.473372781,,,,,,0.738461525,,,,,,0.671328664,,,,,
NonDataScience,python-semver,0.799999988,0.961538432,,0.96153848,0.961538426,,,,,,,,,,,,0.961538426,,,,,
NonDataScience,telegram-twitter-forwarder-bot,0.628571439,0.712945111,0.75,0.781249979,0.678571429,,,,,,0.75,,,,,,0.875,,,,,
NonDataScience,DIE,0.72307695,0.770673887,0.677939993,0.77867936,0.728235308,,,,0.970588232,,0.740641687,,,,0.970588232,,0.740409219,,,,0.970588232,
NonDataScience,Decept,0.738461508,0.603465025,0.858481732,0.638289,0.595404614,,,,,,0.845665943,,,,,,0.623059863,,,,,
NonDataScience,SublimeTextSwiftAutocomplete,0.69999999,0.810035446,0.871794867,0.824615437,0.807692278,,,,,,0.871794867,,,,,,0.807692278,,,,,
NonDataScience,crab,0.799999968,0.897341794,0.907407428,0.890123401,0.90740738,,,,,,0.90740738,,,,,,0.944444437,,,,,
NonDataScience,MillionHeroAssistant,0.737254916,0.617603828,0.926666639,0.600642331,0.718954228,,,,,,0.933333345,,,,,,0.80567373,,,,,
NonDataScience,django-celery-email,,,,,,,,,,,,,,,,,,,,,,
NonDataScience,django-watchman,0.400000015,0.863025061,0.917777813,0.836073696,0.861111105,,,,0.888888882,,0.925925898,,,,,,0.925925898,,,,0.944444437,
NonDataScience,Generative-and-Discriminative-Voxel-Modeling,0.621052639,0.734183179,0.896825382,0.724237189,0.728070157,,,,,,0.944444437,,,,,,0.75589224,,,,,
NonDataScience,aws-encryption-sdk-python,0.734374989,0.874515714,0.942854406,0.875409616,0.876078017,0.992063435,,,,,0.961348186,,,,,,0.925367724,0.992063435,,,,
NonDataScience,django-annoying,,,,,,,,,,,,,,,,,,,,,,
NonDataScience,my_first_tic_tac_toe,0.799065404,0.498328127,,0.5,0.454545455,,,0.5,,,,,,,,,0.5,,,0.5,,
NonDataScience,django-google-maps,,,,,,,,,,,,,,,,,,,,,,
NonDataScience,luz-cpu,0.620689635,0.934472871,0.941739515,0.901233914,0.864744971,0.97560975,,,,,0.954703827,,,,,,0.96544719,0.975609733,,,,
NonDataScience,nsepy,0.736,0.814823996,0.863157892,0.801154688,0.795789481,,,,,,,,,,,,0.868421046,,,,,
NonDataScience,django-wiki,0.542857152,0.93958041,0.936702916,0.945155828,0.908289235,,,,,,0.959670813,,,,,,0.966049376,,,,,
NonDataScience,BDFProxy,0.466666667,,,,,,,,,,,,,,,,,,,,,
NonDataScience,spotify-backup,0.694736851,,,,,,,,,,,,,,,,,,,,,
NonDataScience,PyPagekite,0.476190462,0.77606349,0.847167384,0.746897367,0.838689916,0.925925919,,,0.950617277,,0.853835997,0.962962956,,,0.962962995,,0.86937668,0.925925919,,,0.950617277,
NonDataScience,youtube-dl-GUI,0.686419721,0.991419892,0.99253128,0.992237597,0.990535008,,,,0.996460898,,0.993706693,,,,0.997707267,,0.991271412,,,,0.996954725,
NonDataScience,fbone,0.599999991,0.851571007,,0.864468903,0.846153815,,,,,,,,,,,,0.846153815,,,,,
NonDataScience,huBarcode,0.461538478,0.978459017,0.987744765,0.9894356,0.967876535,0.995744712,,,,,0.989361733,,,,,,0.993853411,0.995744712,,,,
NonDataScience,som-tsp,0.799999988,0.667021291,,0.6875,0.6875,,,,,,,,,,,,0.678571429,,,,,
